Category,Subcategory,Calculator,Suggested Slug,US_Focus
General Budgeting & Everyday Math,Misc / Everyday,Anodizing Cost Calculator,anodizing-cost,False
General Budgeting & Everyday Math,Misc / Everyday,Appliance Depreciation Calculator,appliance-depreciation,False
General Budgeting & Everyday Math,Misc / Everyday,Appraisal Adjustment Calculator,appraisal-adjustment,False
General Budgeting & Everyday Math,Misc / Everyday,Appraisal Cost Calculator,appraisal-cost,False
General Budgeting & Everyday Math,Misc / Everyday,Appraisal Expiration Date Calculator,appraisal-expiration-date,False
General Budgeting & Everyday Math,Misc / Everyday,Appraisal Hike Percentage Calculator,appraisal-hike-percentage,False
General Budgeting & Everyday Math,Misc / Everyday,Aquarium Energy Cost Calculator,aquarium-energy-cost,False
General Budgeting & Everyday Math,Misc / Everyday,Arbitrage Percentage Calculator,arbitrage-percentage,False
General Budgeting & Everyday Math,Misc / Everyday,Arbitrage Profit Calculator,arbitrage-profit,False
General Budgeting & Everyday Math,Misc / Everyday,Arc Elasticity Calculator,arc-elasticity,False
General Budgeting & Everyday Math,Misc / Everyday,Arcade Revenue Calculator,arcade-revenue,False
General Budgeting & Everyday Math,Misc / Everyday,Architectural Fee Calculator,architectural-fee,False
General Budgeting & Everyday Math,Misc / Everyday,Art Commission Calculator,art-commission,False
General Budgeting & Everyday Math,Misc / Everyday,Asset Adjusted Basis Calculator,asset-adjusted-basis,False
General Budgeting & Everyday Math,Misc / Everyday,Asset Age Calculator,asset-age,False
General Budgeting & Everyday Math,Misc / Everyday,Asset Depletion Calculator,asset-depletion,False
General Budgeting & Everyday Math,Misc / Everyday,Asset Income Calculator,asset-income,False
General Budgeting & Everyday Math,Misc / Everyday,Asset Swap Calculator,asset-swap,False
General Budgeting & Everyday Math,Misc / Everyday,Attainment Percentage Calculator,attainment-percentage,False
General Budgeting & Everyday Math,Misc / Everyday,Attorney Fee Calculator,attorney-fee,False
General Budgeting & Everyday Math,Misc / Everyday,Attrition Calculator,attrition,False
General Budgeting & Everyday Math,Misc / Everyday,Auction Buyers Premium Calculator,auction-buyers-premium,False
General Budgeting & Everyday Math,Misc / Everyday,Auction Premium Calculator,auction-premium,False
General Budgeting & Everyday Math,Misc / Everyday,Audit Fee Calculator,audit-fee,False
General Budgeting & Everyday Math,Misc / Everyday,Audit Man Days Calculator,audit-man-days,False
General Budgeting & Everyday Math,Misc / Everyday,Audit Percentage Calculator,audit-percentage,False
General Budgeting & Everyday Math,Misc / Everyday,Audit Risk Calculator,audit-risk,False
General Budgeting & Everyday Math,Misc / Everyday,Average Benefit Percentage Test Calculator,average-benefit-percentage-test,False
General Budgeting & Everyday Math,Misc / Everyday,Average Capital Base Calculator,average-capital-base,False
General Budgeting & Everyday Math,Misc / Everyday,Average Cost Basis Calculator,average-cost-basis,False
General Budgeting & Everyday Math,Misc / Everyday,Average Cost Calculator,average-cost,False
General Budgeting & Everyday Math,Misc / Everyday,Average Credit Age Calculator,average-credit-age,False
General Budgeting & Everyday Math,Misc / Everyday,Average Daily Balance Calculator,average-daily-balance,False
General Budgeting & Everyday Math,Misc / Everyday,Average Daily Demand Calculator,average-daily-demand,False
General Budgeting & Everyday Math,Misc / Everyday,Average Daily Float Calculator,average-daily-float,False
General Budgeting & Everyday Math,Misc / Everyday,Average Days Late Calculator,average-days-late,False
General Budgeting & Everyday Math,Misc / Everyday,Average Deal Size Calculator,average-deal-size,False
General Budgeting & Everyday Math,Misc / Everyday,Average Directional Movement Index Calculator,average-directional-movement-index,False
General Budgeting & Everyday Math,Misc / Everyday,Average Growth Factor Calculator,average-growth-factor,False
General Budgeting & Everyday Math,Misc / Everyday,Average Guest Check Calculator,average-guest-check,False
General Budgeting & Everyday Math,Misc / Everyday,Average Ledger Balance Calculator,average-ledger-balance,False
General Budgeting & Everyday Math,Misc / Everyday,Average Order Size Calculator,average-order-size,False
General Budgeting & Everyday Math,Misc / Everyday,Average Per Cover Calculator,average-per-cover,False
General Budgeting & Everyday Math,Misc / Everyday,Average Poverty Gap Calculator,average-poverty-gap,False
General Budgeting & Everyday Math,Misc / Everyday,Average Prime Rate Calculator,average-prime-rate,False
General Budgeting & Everyday Math,Misc / Everyday,Average Revenue Calculator,average-revenue,False
General Budgeting & Everyday Math,Misc / Everyday,Average Seasonal Variation Calculator,average-seasonal-variation,False
General Budgeting & Everyday Math,Misc / Everyday,Average Settlement Period Calculator,average-settlement-period,False
General Budgeting & Everyday Math,Misc / Everyday,Average Total Assets Calculator,average-total-assets,False
General Budgeting & Everyday Math,Misc / Everyday,Average Variable Cost Calculator,average-variable-cost,False
General Budgeting & Everyday Math,Misc / Everyday,Average Wage Per Second Calculator,average-wage-per-second,False
General Budgeting & Everyday Math,Misc / Everyday,Average Weekly Sell Through Calculator,average-weekly-sell-through,False
General Budgeting & Everyday Math,Misc / Everyday,Average Weekly Wage Calculator,average-weekly-wage,False
General Budgeting & Everyday Math,Misc / Everyday,Awning Cost Calculator,awning-cost,False
General Budgeting & Everyday Math,Misc / Everyday,BDI (Brand Development Index) Calculator,bdi-brand-development-index,False
General Budgeting & Everyday Math,Misc / Everyday,Backpacking Cost Calculator,backpacking-cost,False
General Budgeting & Everyday Math,Misc / Everyday,Bank Guarantee Cost Calculator,bank-guarantee-cost,False
General Budgeting & Everyday Math,Misc / Everyday,Banner Cost Calculator,banner-cost,False
General Budgeting & Everyday Math,Misc / Everyday,Barge Rate Calculator,barge-rate,False
General Budgeting & Everyday Math,Misc / Everyday,Base Plus Commission Calculator,base-plus-commission,False
General Budgeting & Everyday Math,Misc / Everyday,Basis Point To Percentage Calculator,basis-point-to-percentage,False
General Budgeting & Everyday Math,Misc / Everyday,Basis Points Commission Calculator,basis-points-commission,False
General Budgeting & Everyday Math,Misc / Everyday,Basis Points Difference Calculator,basis-points-difference,False
General Budgeting & Everyday Math,Misc / Everyday,Basis Points Increase Calculator,basis-points-increase,False
General Budgeting & Everyday Math,Misc / Everyday,Battery Cost Calculator,battery-cost,False
General Budgeting & Everyday Math,Misc / Everyday,Battery Prorated Calculator,battery-prorated,False
General Budgeting & Everyday Math,Misc / Everyday,Beer Cost Calculator,beer-cost,False
General Budgeting & Everyday Math,Misc / Everyday,Benefits Effective Date Calculator,benefits-effective-date,False
General Budgeting & Everyday Math,Misc / Everyday,Beta Coefficient Calculator,beta-coefficient,False
General Budgeting & Everyday Math,Misc / Everyday,Beta Increase Calculator,beta-increase,False
General Budgeting & Everyday Math,Misc / Everyday,Betterment Return Calculator,betterment-return,False
General Budgeting & Everyday Math,Misc / Everyday,Betting Ladder Calculator,betting-ladder,False
General Budgeting & Everyday Math,Misc / Everyday,Bi Weekly Net Income Calculator,bi-weekly-net-income,False
General Budgeting & Everyday Math,Misc / Everyday,Bid Rate Calculator,bid-rate,False
General Budgeting & Everyday Math,Misc / Everyday,Bill Rate Calculator,bill-rate,False
General Budgeting & Everyday Math,Misc / Everyday,Billable Hours Calculator,billable-hours,False
General Budgeting & Everyday Math,Misc / Everyday,Billable Hours Goal Percentage Calculator,billable-hours-goal-percentage,False
General Budgeting & Everyday Math,Misc / Everyday,Billing Date Calculator,billing-date,False
General Budgeting & Everyday Math,Misc / Everyday,Billion To Trillion Calculator,billion-to-trillion,False
General Budgeting & Everyday Math,Misc / Everyday,Billionaire Calculator,billionaire,False
General Budgeting & Everyday Math,Misc / Everyday,Black Friday Calculator,black-friday,False
General Budgeting & Everyday Math,Misc / Everyday,Blended Fee Calculator,blended-fee,False
General Budgeting & Everyday Math,Misc / Everyday,Blended Labor Rate Calculator,blended-labor-rate,False
General Budgeting & Everyday Math,Misc / Everyday,Blended Margin Calculator,blended-margin,False
General Budgeting & Everyday Math,Misc / Everyday,Blended Rate Calculator,blended-rate,False
General Budgeting & Everyday Math,Misc / Everyday,Blogging Profit Calculator,blogging-profit,False
General Budgeting & Everyday Math,Misc / Everyday,Boat Depreciation Calculator,boat-depreciation,False
General Budgeting & Everyday Math,Misc / Everyday,Bond Dirty Price Calculator,bond-dirty-price,False
General Budgeting & Everyday Math,Misc / Everyday,Bond Equivalent Yield Calculator,bond-equivalent-yield,False
General Budgeting & Everyday Math,Misc / Everyday,Bond Settlement Date Calculator,bond-settlement-date,False
General Budgeting & Everyday Math,Misc / Everyday,Book Publishing Cost Calculator,book-publishing-cost,False
General Budgeting & Everyday Math,Misc / Everyday,Bottle Cost Calculator,bottle-cost,False
General Budgeting & Everyday Math,Misc / Everyday,Bottle Return Calculator,bottle-return,False
General Budgeting & Everyday Math,Misc / Everyday,Bottled Water Cost Calculator,bottled-water-cost,False
General Budgeting & Everyday Math,Misc / Everyday,Bps To Percent Calculator,bps-to-percent,False
General Budgeting & Everyday Math,Misc / Everyday,Bps Variance Calculator,bps-variance,False
General Budgeting & Everyday Math,Misc / Everyday,Brand Equity Calculator,brand-equity,False
General Budgeting & Everyday Math,Misc / Everyday,Break Even Point Calculator,break-even-point,False
General Budgeting & Everyday Math,Misc / Everyday,Brush Removal Cost Calculator,brush-removal-cost,False
General Budgeting & Everyday Math,Misc / Everyday,Budget Impact Calculator,budget-impact,False
